No.,Port/L2 Forwarder VLAN,Port VLAN,Count
298,"C1028 ( INTERNET, Residential Bridge )",C1028,34
299,"C1029 ( INTERNET, Residential Bridge )",C1029,510
300,"C1032 ( INTERNET, Residential Bridge )",C1032,740
301,"C1033 ( HSI, Residential Bridge )",C1033,16
302,"C1044 ( DXB-RYH58-ZR03_HSI, Cross Connect )",C1044,1
303,"C1045 ( HSI_INTERNET, Residential Bridge )",C1045,1
304,"C1062 ( INTERNET, Residential Bridge )",C1062,274
305,"C1063 ( INTERNET, Residential Bridge )",C1063,180
306,"C1063 ( INTERNET, Residential Bridge )",C1063,1
307,"C1082 ( AUH-MQT18-HU01_HSI, Cross Connect )",C1082,1
308,"C1093 ( WC-AJN-ZM10_hsi, Cross Connect )",C1093,1
309,"C1094 ( WC-AJN-ZM09_HSI, Cross Connect )",C1094,1
310,"C1096 ( WC-MUH42-ZR02_HSI, Cross Connect )",C1096,1
311,"C1118 ( INTERNET, Residential Bridge )",C1118,498
312,"C1121 ( AUH-HYA58-HU01_HSI, Cross Connect )",C1121,1
313,"C1122 ( AUH-JYF88-HU01_HSI, Cross Connect )",C1122,1
314,"C1143 ( EC-KFN-ZM03_HSI, Cross Connect )",C1143,1
315,"C1144 ( EC-KFN24-ZM01_HSI, Cross Connect )",C1144,1
316,"C1144 ( EC-MSFGSM614-ZR02_HSI, Cross Connect )",C1144,1
317,"C1145 ( EC-KFNCTO-ZM02_HSI, Cross Connect )",C1145,1
318,"C1146 ( EC-DAD-ZM02_HSI, Cross Connect )",C1146,1
319,"C1147 ( EC-DADGSM652-ZM01_HSI, Cross Connect )",C1147,1
320,"C1148 ( EC-DAD3-ZR03_HSI, Cross Connect )",C1148,1
321,"C1148 ( INTERNET, Residential Bridge )",C1148,41
322,"C1149 ( EC-DAD4-ZR02_hsi, Cross Connect )",C1149,1
323,"C1151 ( EC-DAD6-ZR02_HSI, Cross Connect )",C1151,1
324,"C1164 ( WC-AJN-ZM14_HSI, Cross Connect )",C1164,1
325,"C1167 ( EC-BIT4-ZR02_HSI, Cross Connect )",C1167,1
